content,score
muncul mulu di iklan drama cina nyusahin,1
ok,5
saat lagi hujan susah dapat gojek jadi ny saya kasih bintang 4,4
sekarang sistem hanya mencari keuntungan saja.,1
"driver GOjek bbrp x sy dpt kurang ramah, terkesan galak, ga sabaran, ya gosend terutama, mmg tdk semua, tp ga jarang jg dpt yg model gtu. semoga bisa jd evaluasi ya. kita ga minta di hormati berlebihan kok, kita jg faham driver bkn pembantu kita, yaa sama2 membutuhkan lah, jd saling menghargai aja.",4
sangat membantu sekaliiii,5
busuk ni aplikasi keluar mulu. ga reapon mulu. gtau orang buru² apa ya,1
penolongkuh buat nge send barang💃dan pengantarkuh kemana pun tenkyu,5
para driver asik,5
pelayanan bagus,5
mudah di akses,5
"Gocar mengecewakan, pesan selalu menunggu lama, kalau tidak mau Khan bisa ngechat!, saya chat ga dibales2. memangnya tidak kedetect di sistem kalau sudah d ambil trus ga jalan2!. tolong ditegur driver seperti itu.",1
adalah pokonya,5
harusnya begitu boskuh,5
bisa dipake dan mudah pemakaiannya,5
andalan memang,5
sgt membantu... terima kasih 🙏😊🤝😘,5
sangat membantu,4
terima kasih,5
good,5
mantab,5
bagus,5
Sukaaaa,5
apk bikin muak 🤮,1
suka bgt ma aplikasi nya... kebantu banget sm aplikasi ini drivernya baik2 gak ada yg rewel dan ribet....👍👍 kl ada masalah cs nya juga cepat tanggap👍👍,5
sangat baikk,5
oke,5
bagus,5
mantap bagus,5
Oke mantap,5
sangat membantu di jam jam kritis 👌👌👍,5
susah sekali donwloadnya,5
"makin ksini makin parah,gw ga bisa pesan layanan gocar",1
naik ojek moda transportasi yg adil,5
"udah 2kali terjadi setiap mau pesen gofood selalu tercancel dari aplikasi nya, kesel banget udah mah laper cape ngantuk nunggu lama tiba tiba dibatalkan begitu sajaaa, jadi kapok pesen gofood jadinya, lain kali kalo emang resto tutup gausah dan driver gaada langsung bisa dibatalin dongg biar ga nunggu lama, ini udah nunggu 1jam setengah baru bisa dibatalin kesellllll bangetttt, udah 2kali 2 waktu berbeda terjadi nya, tolong perbaiki lagi sistem nyaaaaaa",1
sangat membantu disaat waktu mepet,5
good app,5
mantap,4
oke deh,5
God job,5
Gojek memang tiada lawan dah yang lainnya maaf saya selalu setia dengan Gojek 🥰,5
eror bangke,1
ok,5
bagus,5
harusnya reting yang di kasih Drive kita bisa liat biar adil driver bisa liat reting kita,2
bagus sih tapi kadang suka pada nolak mungkin karna cuaca lagi kurang baik tapi gpp semoga lebih baik kedpn nya,5
sering bermasalah aplikasinya pake gojek hemat gak dapat driver begitu upgrade ke biasa malah pesanan double. Kasian drivernya kan kalau kayak gitu.,1
"terimakasih apk ini cocok untuk saya, yg mager.",5
"ngga bisa chat resto,jadi ngga tau pesanan dibikin apa ngga,soalnya sering udah nunggu lama lama makanan ngga dikirim.",1
ok,5
Mudah-mudahan semakin baik terus dravir nya sehat selalu mereka dan barokah nya segenap semuanya yang ikut adil dalam aplikasi gojek Aamiin. dan tetap di sangsi jika kalau tentu apabila terjadi kesalahan di pelanggan mereka yang sudah ber etik baik,5
amat sangat bisa di andal kan,5
bagus bermanfaat,5
bagus,5
mudah,4
LAMA NGIRIM BARANG KAGA DAPET² PENGEMUDINYA,1
oke,5
support karya anak bangsa,5
terimakasih sudah sangat membantu kami para perantau yg belum punya kendaraan jadi bisa memakai jasa ini,5
jasa beli makan saat kepepet fan mager,5
sangat puas,5
sangat membantu sekali aplikasi sngat bagus,5
mudah dan murah,5
"saya lunasi gopaypinjam sebelum jatuh tempo bahkan sebelum masuk bulannya sudah saya lunasi supaya bisa pinjam lagi , eh taunya malah pinjaman ditolak ! ANEH !!",1
aplikasi nya bagus banget,5
Respon driver Lama,2
driver manja2 kalau harga promo pada gamau ngambil banyak alesan macet lah ban bocor lah kejauhan lah tolong lain kali gojek diseleksi lagi calon2 drivernya,3
"lemot banget mau pencet nambah pesenan malah ga muncul muncul padahal sinyal bagus hp juga normal ga lemot, berkali kali udah kaya gini kenapa ya",5
"Percuma gak bisa tarik dana sudah berapa kali di tolak pengajuan,alasan data tidak valid Kenapa yang pertama pencairan bisa,setelah di lunasi malah sebelum tempo jadi gak bisa lagi..Herann",1
GOJEK MAKIN JELEK PELAYANANNYA.,1
good job,5
good app,5
kurang puas di pengambilan driver. Padahal di maps banyak driver disekiraran lokasi tapi yg dipilih sama aplikasi yg jaraknya lumayan jauh,4
fitur gojek hemat mending dihapus aja.. pada kaga mau ambil drivernya.. menuh2 menu aja.,1
"kadang jumpa driver baik, kadang menjengkelkan dan menekan penumpang",5
nyari driver aja lama kali,1
"Drivernya ramah""",5
lebih hemat,5
"lemot lelet, lama bgt. mending pake grab",1
Sangat membantu....,5
kok ngga bisa di download apk nya kk,1
pelayanan bagus,5
terimakasih👍,5
sangat membantu sekali terimakasih,5
simpan draft ilang terus jadi harus ulang orderan,2
"Gopay pinjam baru telat sehari udh diteror, dikecam, baik WA dan telfon. Nomor yg menghubunginya juga beda2, pokoknya udah kaya buronan banget rasanya. Bunganya juga tinggi banget nih gopay pinjam. sblm ajukan dipikir2 lagi ya buat para calon peminjam, biar ga alami pengalaman kaya saya.",1
"susah dpet driver nya, huhu harus nunggu lama bgt",2
"ketepatan waktu,cepat,ramah",5
udah nunggu 2 jam malah di cancel asuu,1
pelayan drive mobilnya jelek baru pertama kali digini karena saya minta masuk gang ke arah rumah saya dan juga itu juga jalan nya masih bisa masuk mobil 2 tapi dia ga mau pas saya cancel malah marah ga jelas dan saya kasih aja uang buat di ga bacot nih ya orang nya nama nya ARI PRASETIYO DRIVE YANG SANGAT TIDAK RAMAH tolong dong pihak GO-JEK sortir lagi para drive nya biar ga ada driver yang ga RAMAH SAMA SEKALI,1
memuaskan,5
2026 harus lebih baik ya,4
sagat memantu kala kita. bigung. untuk pergian untung. ada. Aplikasu Gojek,5
"kak tolong balikin klaim koin sebanyak kyk tahun kemarin, tahun kemarin perhari bisa 100-200 trus kalo udh 7 hari kadang dpt antara 1000 atau 1500, tolong balikin seperti itu ya kak lumayan untuk potongan promo, yg ini perhari cuma 50 saja trus kalo udh seminggu dapet 100-150 aja, terimakasih 🙏",5
Mau login Aja tambah ribet mlh gk jelas ni app,1
jarak hanya 5km pakai yang hemat tidak ada yang mau giliran pakai yang normal banyak yang nolak saat hujan juga tidak ada yang mau ngambil sampai harus nunggu 2 jam,1
banyak sekali driver yang menolak.,1
"APLIKASI GAMASUK AKAL MASAK ONGKIR MAHAL KALI PADAHAL ADA PROMO LO MALAH GA BS DIPAKE UDH GT KADANG DRIVER LAMA BGT JEMPUTNYA HAPUS AJA HAPUA, UDH HARGA GA NGOTAK KLO MESEN MAKAN, UEDAN",2
setelah update malah gak bisa masukin alamat tujuan. data-data sebelumnya hilang kemana?!,4
"TOLONG HILANGKAN FITUR DOUBLE ORDER YA, BIKIN RUGI CUSTOMER SAMA BIKIN RUGI DRIVER",5
oke bagus,5
terimakasih telah membuat aplikasi bermanfaat,5
"udah lama ,di cancel terus bikin telat tau gak, kalo gak niat gk usah bikin ni jasa",1
Sangat membantu,5
biasanya ke rumah nenek 44k Skrang koq jadi 60k di aplikasi sebelah aja 45k,1
"Kalo pesen goride atau gofood pasti dapet driver yang paling jauh, padahal yang deket banyak. Tinggal di kotanya tapi susah banget dapet driver waktu go food apalagi kalo lagi gerimis. Kecewa",4
bermanfaatt,5
awalnya nyaman pake aplikasi ini sekarang engga banyak oknum yang minta ongkos lebih,1
oke,5
"kalau ngasih iklan di tempat lain jan kelamaan tolol capek gua liat iklann lu muluu ,mana kelamaan lagii satt",1
"sering dapet driver yang sengaja ngejauh dari titik jemput atau dilama2in padahal lokasinya udah deket. biar apa coba? kalo gamau narik, cancel aja ga usah gitu. buang2 waktu saya.",3
Solusi tepat,5
saya suka sm gojek tp udh keduakali ga bisa order,4
amat sangat membantu best pokonya gojek,5
gojek sangat membantu sekali baik dalam transportasi maupun mengirim barang,5
"sekarang kenapa sering pesan makanan di cancel sepihak yaa, saya udah nunggu 1,5 jam loh. dan ini nggak cuma untuk 1 orang, effort waktu nunggu, terbuang, effort pesen ulang udah lewat jam istirahat",1
"sering susah mendapatkan kurir utk mengirim paket , sering menunggu lama . harap makin d perbaikin",1
"perbaiki sistem alamatnya, setiap pesan gofood selalu telat, driver ntah nyasar kmna mna, padahal alamat ku dah benar, udah menyertakan wilayah, blok dan nomor rumah sekarang ini lagi pesan gofood, alamat udah jelas aku ketik disitu, driver nyasar sampe ke pasar, logika la, driver nelpon malah bilang udh sesuai titik, ntah titik yang mana. perbaiki lagi itu, NYASAR KLEN BUAT ORANG GOFOOD ITU TUHAN, MENYALA LA AKU INI JDI SUMALA",2
ok,5
makin kesini drivernya makin pilih2 songong,1
apk kaga jelas ...,1
mantabb,5
mantep banget,5
selalu setia..dr dulu..biar nomer hp ilang saat ganti LG nomer baru tetep aja di download lg,5
ramaah dan bersih,5
bagus,5
MALES BANGET PESEN GORIDE HEMAT SELALU JAUH TERUS DRIVER NYA,1
"DEV GOJEK PLSSSSS KERJAAAAAAA TIKETNYA UDAH DIBILANG SELESAI PADAHAL DI APLIKASI MASIH GA BISA TRANSAKSI QRIS JADI DEV TUH YANG BENERRRRRRRRRR COBA JELASINNNNNNN AKUN GW MASIH ADA DUITNYA ITUUUU, GW KENA SCAM MASA AKUN SCAMMER ITU MASIH AKTIF SDKAN AKUN GW YANG DIBILANG ADA AKTIVITAS MENCURIGAKAN, GW GA NGAREPIN DUIT GW BALIK TAPI SEENGAKNYA BLOK KEK AKUNNYA BIAR GA ADA YANG KENA TIPU LAGI, GAJELASSSSSSS",2
"betul lagi musim ujan cari driver susah dan jauh, tapi kalo gak ujan tolonglah yang goride hemat jangan dibikin jauh juga.. klo goride hemat yang biasanya nunggu paling lama cm 5 menit sekarang bisa sampe 10 menit, wasting time. kalo memang itu goride hemat tidak menguntungkan perusahaan kenapa diadakan?? udah gitu pas ujan ada pilihan harga yang hemat dan reguler (harga dinaikin 2x lipat) tapi dapet driver ttp jauh & lama. padahal udah lebih dari 5th suka aplikasi ini, tp sekarang mengecewakan.",2
klo driver tlp gak ada tampilannya untuk angkat tlpnnya.. ginama sih..,1
"aman ,nyaman",5
Mudah dan Efisien,5
"banyak vouchernya. josjizz buat gojek, moga makin lebih dan jadi yg terbaik selalu, thankyou👍🏻👋🏻",5
sangat membantu ...,5
orderan cepat dan akurat,5
titik jemput yg berbeda yang kadang buat ribet Krn drivernya jg kesulitan mencari alamat sebenarnya. pelayanan sh okay tp bagi yg gaptek kadang membuat sulit orang lain.,5
dah lama pakai gojeg sampai sekarang blm prnah di kecewain,5
"Kecewa dg sistemnya, sudah top up gopay tp tbtb sering pindah ke tunai. Karena ga pegang cash jd harus top up lagi ke akun pribadi driver. Juga pagi ini nunggu driver hampir 15 menit tdk ada yg mau pick up, terpaksa saya cancel bbrp kali. Lalu tbtb ada driver yg masuk sedangkan saya sudah pesen di aplikasi sebelah, mau tdk mau saya cancel dan driver kesal ke saya. Mohon perbaiki lagi sistemnya!",1
"Aplikasi nyaa udah ok banget, tapi sangat di sayangkan mencari driver nya lamaa dan sangat susah, sejam saya tunggu ga dapet dapet, kalau berangkat kerja ga bisa di andalkan karena sudah pasti terlambat karena menunggu dapet driver lama",3
layanan buruk pencarian gojek yg sangat lama dan gk guna jadi telat pergi kerja tiap pake gojek,1
cukup mempermudah mobilitss,5
"Driver ramahh dan sopan , membantu kebutuhan anak kami dg cepat. recomended driver 👍👍👍",5
pakai gojek hemat emg harganya murah tapi banyak driver yang nolak trus nunggunya lama bgt.,3
mantab...solusi disaat kesulitan,5
tolong dong gojek kalau lagi hujan jangan susah dapet driver kita juga yang kerja butuh mereka butuh uang dari kita kita butuh jasa mereka bukannya pas hujan malah susah udah mana mahal lagi kalau hujan kami siap bayar berapa aja pun tapi drivernya suka batalin,3
buat apa ada gojek hemat kalo ga ada yg mau nyantol,1
kalo matok harga ga ngotak bngt skrng,1
"para driver gojek belagu amat, klo udh malem+hujan, susahnya minta ampun dapet driver terdekat. pdhl titik lokasi mangkal drivel gojekndi dekat tmpt saya banyak. saking susahnya, dapat yg jauh terus, dan alhasil sllu dicancel, langsung HAPUUUSS apk gojeknya, KECEWAAAAA.. !!! mending beralih ke apk ojek online yg lain deh, yg sllu ready walaupun hujan badai mau siang pagi malam. terimakasih",5
"salah satu driver anda mempepet saya,padahal jarak motor kami tidak terlalu berdekatan tapi dia makin kekanan mendekati motor saya,saya Pepet balik depan muka dia,dia ngamuk mukul saya!! apakah begitu driver kalian?salah dia malah saya dipukul dan dicaci",1
goood,5
Kenapa pay leter saya gak bisa aktif,5
membantu saya yang malas,5
"pencarian driver knp jd susah bgt sih kalo lg urgent, pdhl banyak yg dkt sekali dpt jauh bgt!",3
aplikasi aneh pas waktu kerja nyari driver nya lama pas jam 8 pas ketemu lokasi nya jauh banget bisa nyampe 15 menit baru Dateng daripada gini trus mending kagak usah download udh lama gak berguna nyari driver nya jauh pula lokasinya bukan nya di perbaiki malah di perburuk,1
"Harga mahal, dan driver lambat respon, saya udah telat berkali kali gara2 nunggu gojek",1
"saran dari saya kalo tambahin fitur, kalo misal Drive nya gak jalan/lambat/macet lebih dari 10 menit langsung ganti driver soalnya saya kadang Nemu driver malah nahan, kadang pas mau makan, sholat atau semacamnya 🙏🏻",4
tiap pagi susah bgt cri driver biasa nya suka bnyak tp ini ttep gd terus.,3
gak Tran Paran saldo kita selalu gak di munculkan jadi kami tidak tau brapa uang yg ada di aplikasi mohon di tampilkan dong saldo yg ada,2
"aslinya bagus, saya dapet harga ramah kantong pelajar juga. Tapi kenapa sekarang ditahun baru ini nyari driver susah banget, ga kayak dulu yang satset langsung dapet waktu cari driver",3
"pencarian drivernya lama banget, padahal driver-drivernya terlihat di map tapi sepertinya tidak mau menerima order, cuacanya tidak lagi mendung dan kondisi jalan tidak macet, tolong diperhatikan lagi pekerjanya, makasih.",3
meringankan...,5
aman pake gojek pokonya biar bintang yg menilai,5
Alhamdulillah pelayanan sangat baik dan profesional drivernya.,5
sangat memuaskan...👍,5
sangat membantu,5
susah cari nya sekali dapat gak mau nganterin,1
seru tidak ribet langsung satset,5
ngeleg bnr dah,1
bgs SGT membantu,5
Mantap,5
"Setiap jam 6 pagi kalau saya pesan goride kenapa susah dpt driver, kalau dapat pasti jauh dari lokasi saya, minimal 2km dari lokasi. terimakasih",3
"Setiap beli gofood di aplikasi sangat susah cari driver, padahal tempatnya di kota tapi masih susah cari driver. Apalagi sampe coba pake device dan akun yang berbeda tapi sama aja susah cari driver. Beda seperti aplikasi sebelah yang fast dalam mencari driver dan promo-promo nya lebih lengkap daripada gojek yang sedikit promo. Padahal langganan gojek udah lama hadeh.",1
ok,5
ok,5
mntp aplikasi nya,5
nice,5
karna telat 1 hari penagih smpai sumpah² dngn kta² yg ngga pantas .. sngt disygkan ngga bisa menjga pelayanan nya .. klau telat beminggu² boleh smpai ngata²in orng ini 1 hari mmng ngga ada hadat sma skli ...,3
jos jissss,5
suka bgt,5
selalu aman bersama gojek,5
aplikasi sampah dapet drivernya lama monyed,1
bgus,5
terkadang jarang ada promo,5
baguss,5
Payah... cari driver gosend susah 3 jam nunggu masih mencari terus,1
susah unt re registrasi,2
Semua aplikasi TERGANTUNG pada driver nya..ada yg ramah ada juga yg emosian..,5
tolong drivernya dibenahin plissss... banyak banget driver problematik disini.. lama-lama pindah ke sebelah nih...,1
sangat baik,5
cukup bagus banyak membantu,5
"DRIVERNYA BELAGU, UJAN DIKIT GA MAU AMBIL BECEK DIKIT MALES, HARUSNYA KASIH PINALTI KALO NOLAK/CANCLE ORDERAN BIAR KAPOK, MASIH BUTUH DUID AJA BELAGU",1
driver nya banyak yang slowres,3
Makin mudah dan banyak pilihannya,5
udah mah mahal. pesen makanan harus banget 1 jam nunggu driver.! perbaiki deh tolong. jangan bikin customer lama Nunggu driver Nerima pesanan. orang laper Dibikin kesel sama ini aplikasi.!,1
"gojek kalo gabisa atur drivernya mending di hapus aja aplikasinya. percuma buat promo promo kalo drivernya tidak ada yang mau ambil orderan . gunanya promo buat di gunakan percuma perbanyak driver kalo gak guna semua , gamau ambil orderan",1
ongkir ee mahal,3
pencariam driver susah banget udah sejam gada yg ambil orderan ada yg ambil malah di cansel gatau kenapa,1
gofood selalu gesit,5
sangat membantu,5
"mahal banget, promomya dikit banget",1
Saya mau hapus akun aja kalian persulit,1
sk krn gampang penggunaan aplikasi nya,5
mantap,5
b aja sih🙄,1
gimna sih tukang gojek nya mabok,1
oke,5
nadim makarim jos,5
"kecewa mlu, susah banget setiap pesen gojek ataupun gocar klo ga di tolak yaa dibatalin sma drivernya, kacau lah⭐",1
Sangat cocok untuk Bepergian,5
sangat membantu bangen untuk pulang sekolahh,5
aplikasi bobrok,1
lama banget nyari driver.,1
promo kurang banyak untuk gofood makanan cepat saji dgn nominal belanja kecil,3
good jobbb,5
good drive,5
"slalu dapet driver yang gk konsis, ad yg gk jalan², ad yg slow respon ad jg yg gk ngabarin kadang jg ad yg lngsng cancel tampa konfirmasi 🙏",2
memudahkan,5
"Saya tidak suka dengan fitur chat gojek di pelanggan gojek, saya di kirimi pesan oleh orang yang tidak dikenal",1
"banyak promo dan harga yang ramah, untuk cari driver juga mudah",5
anjay,5
mantaaaaapppp,5
jawabannya selalu dusta,1
jelek gak ada diskon gratis ongkir dan potongan makanan,1
"mulai gk jelas apk nya, kadang suka eror pesen gojek udj cencel trus pindah apk sebelah tiba² dpt driver, kadang gk bisa dibuka, aneh lah",2
"jika bisa di update lagi untuk penilaian di apknya, terutama yg gofood untuk rating nya bikin bisa di edit, agar konsumen bisa ganti ulasan yg sebelumnya jelek",5
ok gojek,5
gojek sekarang drivernya pada melarat gara² dora,1
"driver sekarang seenaknya bgt, banyak banget icon driver yang dekat dengan lokasi yang saya pesan tapi sama sekali gada yang ambil pesanan hemat saya, jadi fitur itu gunanya apa ya? tolong di edukasi lagi buat para drivernya deh, ga motor ga mobil sama aja.",1
🔥,5
"Sebetulnya bagus, tapi saya sudah ganti menu pembayaran ke gopay untuk pesen makan. Saat udah tekan pesan diskonnya tidak bisa dipakai dan tetep pakai biaya normal. Jadi saya harus bayar pakai gopay dan tunai😭. Saat mau ajukan cancel juga tidak bisa. Tolong dibenahin lagi dong",2
kalo ujan erormya minta ampun,1
"engga ada salah apa2 admin main suspen aja akunt saya,, gara2 admin kalah debat... lucu admin gojek.",1
sangat bgus,5
good apk,5
"semoga semakin apdute para driver lebih ramah dan lebih sopan santun, dan semisal transaksi cash harus ada kembaliannya disiapkan. pokoknya untuk aplikasinya sangat berguna bagi saya yang tak punya kendaraan dikota.amanah selalu",5
Sering susah cari driver.,1
siip,5
mantap dan gampang dioperasikan,5
Enak,5
ok,5
okeh,5
sudah sangat baik frevernya pun ramah dan disiplin,4
ramah dan sopan,5
pokoknya top,5
good,5
"gerimis dikit aja drivernya mager apalagi ujan gede😡 nungguin lama bgt, pret bnyk yg booking. Blg ae mager suwe",3
bagus,5
Tolong untuk driver yang lemot komunikasi ke customer di disiplinkan.. Banyak driver selalu los koneksi,1
lama dapet driver,2
"bagus,mantap banyakin promo nya",5
"Berkali-kali dapat tapi driver minta cancel, karena katanya aplikasi eror",1
nyaman,5
lebih aman dan nyaman,5
"aplikasi lambat,,,driver sudah sampai tujuan,,,diMap baru separuh jalan",1
kecewa saya ini kok saya mesen gak ada yg mau di terima lewatin aja ya udah saya kecewe bikin sata terlambat untuk dapat urusan penting,1
"emng gojek jadi brmasalah skrg driver nya, gocar nya juga sama😭 aku pernah pesen gocar mau ke rs, pdhl klo driver pasti pinter baca maps nah dia gabisa, sampe marah2 gt dlm mobil, di tambah macet, makin marah² dlm mobil gaenak bngt😭 trs aku kaya di salahin karna ga kasih tau jalan, jelas2 aku aja gatau😭 pas macet aja nyalahin ktny nanti turun di pinggir aja biar ga lama😭😭😭😭",1
mantap,5
apk lag driver pada nolak,1
bagus,5
makin kesini makin sering error,3
aplikasi lemot,1
suka notif internet mati padahal internet saya masih nyala,1
cool,5
sangat puas pelayanan ok dan amanah,5
kok tib atib eror,2
banyak bug,2
"KOMPLAIN PEMBAYARAN BCA VA LEWAT APLIKASI GOPAY GA JELAS, GA BISA CHAT, CUMA ADA PILIH TRANSAKSI, SETELAH DIPILIH GA ADA RESPON. TIBA2 SETIAP 24 JAM STATUS DIANGGAP SELESAI OLEH SISTEM. DUIT 3,7JT HILANG....",1
jaringan bagus tapi sering gabisa ngelag aplikasinya,1
"koneksi bagus tapi di apk gangguan ,gka jelas",1
puas dengan pelayanannya,4
harganya memuaskan...pokk nya gojek mantap,5
ok,5
"kenapa ya sekarang gojek heran banget, diliat di aplikasi banyak gojek yg lebih Deket, tapi aplikasi malah milihin yg jauh, buru buru tapi tidak tau situasi, sekarang juga harganya mahal, mesen makan mahal, mesen ojek juga mahal",1
"biaya aplikas mahal , biaya layanan mahal ...",1
apl gojek Joss . mntp sangat membantu,5
ditunggu versi beta nya gaeeessss 😓,4
pesen gojek bike dapet drivernya jauh² banget bisa 3km jaraknya,3
bagus,5
sangat membantu,5
"Dari dulu masalahnya sama, tiap milih driver yg dipilih yg paling jauh mulu, padahal pas pencarian icon yg deket banyak, abis itu driver nya minta cancel dah karna kejauhan, ngulang gitu terus sampe 8kali, mending jalan pake app lain lebih cepet",1
saya kasih bintang 5 biar di respon tolong itu deivernya di ajarin lagi kalau di chat itu di respon jangan cuman di liat aja ini nggak diliat aja kaya ga niat kerja padahal di bayar uang nya di lebihin tapi orangnya kaya ga niat kerja tolong ya sering banget dapet driver begini lama lama saya malas pake apk ini,5
"Dua kali pesen gojek driver aman-aman ajah masuk sampai halaman rumah dengan titik jemput sesuai aplikasi, eh yang terakhir nggak mau sesuai titik penjemputan dengan alasan terlalu sempit jalannya, malesin banget emang drivernya bikin emosi pagi-pagi, mana yang mo dibawa orang tua stroke, nggak ada manusiawi nya sama sekali",1
gojek aplikasi tepercaya,5
mantap,5
cepat gk lemut,5
"suka sama gojek, cuma disc ongkir buat gomart di aku ga pernah ada wkwkk",5
"MODE HEMAT MERESAHKAN DRIVER . KARNA SETIAP CUSTOMER YANG PAKAI MODE HEMAT , SAMA HALNYA CUSTOMER MEMAKAN PENDAPATAN DRIVER",1
good...👍,5
"ini kapan mode gelapnya rilis perasaan udh dari lama tapi ga rilis rilis, buat low vision kaya aku sangat butuh mode gelap.l",4
tolong dong gojek.. saya lagi ngecek aja ga tau kepencet kayaknya malah pesan goride. mau saya batalkan ga bisa padahal hanya beberapa detik kepencet aja. kasian driver kepotong gopaynya.,4
driver gapernah ada yang mau pick kalo pake yang hemat diperbaiki sistem driver nya biar ga terlalu milih milih ka,1
"aplikasi buruk, mitranya belagu klw hujan gk mw bil pnumpng,",1
good,5
"percuma pake gojek hemat, pas dapet mereka malah menjauh dri kawasan kita. mau naik hemat pdhl mah gpp jauh lama menunggu juga asalkan bisa sampai tujuan karena saya sendiri ingin belajar ilmu dan mengurangi biaya pengeluaran saya agar saya bisa menabung untuk kedepan nya.",1
driver ramah baik sabar,5
"gabisa nolong pas injured time, mendung dikit aja driver langsung pada males²an gamau kerja. dari dulu gaada perubahan.",1
bagusss pokoknya,5
"pelayanan tapi sulit cari driver after hujan.. mohon perbaiki lagi, karena menurut saya"" driver gojek itu banyak bangettt tapi kok sulit cari driver",2
sejauh ini baik aman nyaman. kalo bisa tarif dimurahin ya kalo buat gosend or bawa² barang . makasiih,5
mantap,5
mntap tepat respon,5
"Tetap menjemput walaupun hujan deras, terima kasih gojek",5
oke banget,5
gojek skrg bener2 tiap hujan ga ada yg nyangkut pada ga mau narik gerimis juga susah nya minta ampun udah pada kaya raya ente kita ini saling membutuhkan JD jangan MANJA deh!!,1
"3 tahun pake gojek sekarang kecewa banget padahal saya gojek plus saat pake goride harus nunggu lama sekalinya dapet drivernya kejauhan, drivernya benerin lagi saya beberapa kali dapet driver mau nabrak mobil",1
"Saya sudah lama pake gojek, cuman terkadang menit nya berubah². dari 3 menit menjadi 6 menit, dan posisi driver kadang ga jalan.",3
tolol bet banyak yg buta maps driver nya ataw sengaja batalin order pas Deket Deket,2
"titik ga lengkap, nyari mobil lama",1
"semau nya driver skrng, milih"".. goride hemat samsek gd yg mau ambil biasanya ad, pdhl byk di situ driver, ad ad aj emg. apa cm di daerah pasminy aj yg kyk gini y?",1
Kenapa sih saldo gopaynya ilang2an? masa harus buka tutup app baru muncul! ketauan bagusan shopeepay.,3
WOI GOJEK ITU PENJEMPUTAN PELANGGAN TLONG DI PERBAIK2.JANGAN JAUH JAUH BNER KITA PAKAI MINYAK BUKAN AIR NGOTAK DIKITLH KALIAN. TERIMA KASIH,5
Good aplication,5
"parah saya gosend monitor dengan perlindungan gold sampai ke konsumen pas di coba lcd layar kena ada tompel kayanya ke bentur padahal sudah pake kemasan plastik tebal dan tas, saya complain asuransi karna pakai perlindungan gold jawabannya tidak bisa malah mau memperingatkan driver. akhirnya saya rugi harus ganti monitor komputernya...parah kapok gosend pake gojek biaya perlindungan ngga fungsi",1
"tolong jangan sampe hari ini aku dikecewakan kadang pesen gofood bisa hampir setengah jam padahal sudah pakai ongkir expres,lebih dibagusin lagi 😭",5
gopay pinjam 200 rb doang di tolak trs . aplikasi sgt2 tolol,1
👍,5
semakin kesini semakin dzalim ini aplikasi pendapatan driver di korupsi oleh oknum karyawan gojek yang nakal dia menyalahgunakan jabatannya dan mereka saling menutupi kecurangan rekannya,1
"akun gw masih di blok, csnya gak jelas pertanyaan gw masih belum di jawab dan akun gw masih di blokir",1
"Mantap aplikasinya, efisien dan efektif",5
sikap yang ramah,5
diskon lgi dong kampung,2
layanan gocar malam di pinayungan karawang barat sangat mengecewakan. un install apk,1
Ok baik,5
mantap,5
bagus sangat membantu mudah buat apa aja,5
HIDUP GOCENG 😭,5
iya mantap 👍,5
terimakasih Go-Jek,5
"memudahkan untuk berpergian sih, mulai dari ojol sampe tiket kereta ada semua. banyak promo pulak! 😭",5
cs nya robot,1
"Gacor,drivernya cepet",5
"layanan customer service di apps itu jgn ai, ngerti g sih butuh human touch unt menyelesaikan masalah, dan tolong unt pengiriman sameday minimal masih bisa telpn drivernya selama 3 jam setelah pengantaran, Krn kalau salah dititipkannya repot",2
"aplikasi nyebelin, saya jadinya tiap hari telat terus ke sekolah, masa iya dari jam setengah 6 sampai jam 7 gak ada driver yang mau ambil, giliran dapet malah di cancel sama drivernya, saya jadinya kena poin pelanggaran terus di sekolah gara gara telat terus, sampe dipanggil wali kelas juga, tolonglah jangan kaya gini, saya capek kalo mau berangkat sekolah harus ngadepin drama drama yang kaya gini. soalnya gak masuk akal banget dari setengah 6 sampai jam 7 gak dapet driver.",1
good,5
good,5
"driver tidak jujur dan aplikasi melindunginya, masih bagus jaman pak nadiem sih",1
"Driver suka males² an sampai kadang saya harus datengin langsung driver nya pdhal jarak driver dan saya deket. harga nya juga mahal, suka ga gerak driver nya dari map karena error",1
sangat tertolong dan ada kemudahan sejak ada gojek saya terbantu,5
sangat membantu sekali dalam kegiatan saya,5
baik,4
"tolong buat driver.mobil... ajarin yg ramah min.apalagi bawa anak berkebutuhan khusus,seperti enggan berbicara dgn pelanggan yg membawa anak spesial... apalagi macet ngeluh terus kyk bt... bikin gk nyamann",4
"kerja bagus,cepat dan bertanggung jawab.itu yang saya suka",5
"Kadang malas pakai gojek, mending sebelah. contoh : 1. dapat driver jaraknya jauh2, apalagi kalau hujan 2. pesen makanan lamanya minta ampun, tahu2 malah gagal dpt driver tarip boleh lebih mahal, tpi tolong perbaiki sistemnya, contohin grab dan shopee food",2
setelah diupdate kok ngga ada suara notifnya ya?,4
sangat membantu,5
"pelanggan setia gofood, discountnya mantap,,kl sampai diatas 50% lebih mantap lagi..hehehe",5
makasih driver nya baik sampai tujuan dgn selamat,5
